County-Level Results For 1870

county,state,population
Abbeville,South Carolina,31129
Accomack,Virginia,20409
Adair,Missouri,11448
Adair,Kentucky,11065
Adair,Iowa,3982
Adams,Indiana,11382
Adams,Nebraska,19
Adams,Wisconsin,6601
Adams,Pennsylvania,30315
Adams,Ohio,20750
Adams,Iowa,4614
Adams,Mississippi,19084
Adams,Illinois,56362
Addison,Vermont,23484
Aitkin,Minnesota,178
Alachua,Florida,17328
Alamance,North Carolina,11874
Alameda,California,24237
Albany,New York,133052
Albemarle,Virginia,27544
Alcona,Michigan,696
Alcorn,Mississippi,10431
Alexander,Illinois,10564
Alexander,North Carolina,6868
Allamakee,Iowa,17868
Allegan,Michigan,32105
Allegany,New York,40814
Allegany,Maryland,38536
Alleghany,North Carolina,3691
Alleghany,Virginia,3674
Allegheny,Pennsylvania,262204
Allen,Kentucky,10296
Allen,Ohio,23623
Allen,Kansas,7022
Allen,Indiana,43494
Alpena,Michigan,2756
Alpine,California,685
Amador,California,9582
Amelia,Virginia,9878
Amherst,Virginia,14900
Amite,Mississippi,10973
Anderson,South Carolina,24049
Anderson,Tennessee,8704
Anderson,Texas,9229
Anderson,Kentucky,5449
Anderson,Kansas,5220
Andrew,Missouri,15137
Androscoggin,Maine,35866
Angelina,Texas,3985
Anne Arundel,Maryland,24457
Anoka,Minnesota,3940
Anson,North Carolina,12428
Antrim,Michigan,1985
Appanoose,Iowa,16456
Appling,Georgia,5086
Appomattox,Virginia,8950
Arapahoe,Colorado,6829
Archer,Texas,N/a
Arkansas,Arkansas,8268
Arlington/alexand,Virginia,16755
Armstrong,Pennsylvania,43382
Aroostook,Maine,29609
Ascension,Louisiana,11577
Ashe,North Carolina,9573
Ashland,Wisconsin,221
Ashland,Ohio,21933
Ashley,Arkansas,8042
Ashtabula,Ohio,32517
Assumption,Louisiana,13234
Atascosa,Texas,2915
Atchison,Kansas,15507
Atchison,Missouri,8440
Athens,Ohio,23768
Atlantic,New Jersey,14093
Attala,Mississippi,14776
Audrain,Missouri,12307
Audubon,Iowa,1212
Auglaize,Ohio,20041
Augusta,Virginia,28763
Austin,Texas,15087
Autauga,Alabama,11623
Avoyelles,Louisiana,12926
Baker,Oregon,2804
Baker,Florida,1325
Baker,Georgia,6843
