County-Level Results For 1890

county,state,population
Abbeville,South Carolina,46854
Acadia,Louisiana,13231
Accomack,Virginia,27277
Ada,Idaho,8368
Adair,Iowa,14534
Adair,Missouri,17417
Adair,Kentucky,13721
Adams,Indiana,20181
Adams,Wisconsin,6889
Adams,Ohio,26093
Adams,Illinois,61888
Adams,Washington,2098
Adams,Nebraska,24303
Adams,Pennsylvania,33486
Adams,Mississippi,26031
Adams,Iowa,12292
Addison,Vermont,22277
Aiken,South Carolina,31822
Aitkin,Minnesota,2462
Alachua,Florida,22934
Alamance,North Carolina,18271
Alameda,California,93864
Albany,New York,164555
Albany,Wyoming,8865
Albemarle,Virginia,32379
Alcona,Michigan,5409
Alcorn,Mississippi,13115
Alexander,Illinois,16563
Alexander,North Carolina,9430
Alger,Michigan,1238
Allamakee,Iowa,17907
Allegan,Michigan,38961
Allegany,New York,43240
Allegany,Maryland,41571
Alleghany,Virginia,9283
Alleghany,North Carolina,6523
Allegheny,Pennsylvania,551959
Allen,Ohio,40644
Allen,Kansas,13509
Allen,Indiana,66689
Allen,Kentucky,13692
Alpena,Michigan,15581
Alpine,California,667
Alred,North Dakota,N/a
Alturas,Idaho,2629
Amador,California,10320
Amelia,Virginia,9068
Amherst,Virginia,17551
Amite,Mississippi,18198
Anderson,South Carolina,43696
Anderson,Kansas,14203
Anderson,Kentucky,10610
Anderson,Tennessee,15128
Anderson,Texas,20923
Andrew,Missouri,16000
Andrews,Texas,24
Androscoggin,Maine,48968
Angelina,Texas,6306
Anne Arundel,Maryland,34094
Anoka,Minnesota,9884
Anson,North Carolina,20027
Antelope,Nebraska,10399
Antrim,Michigan,10413
Appanoose,Iowa,18961
Appling,Georgia,8676
Appomattox,Virginia,9589
Aransas,Texas,1824
Arapahoe,Kansas,-2
Arapahoe,Colorado,132135
Archer,Texas,2101
Archuleta,Colorado,826
Arenac,Michigan,5683
Arkansas,Arkansas,11432
Arlington/alexandria,Virginia,18597
Armstrong,Pennsylvania,46747
Armstrong,Texas,944
Aroostook,Maine,49589
Arthur,Nebraska,91
Ascension,Louisiana,19545
Ashe,North Carolina,15628
Ashland,Wisconsin,20063
Ashland,Ohio,22223
Ashley,Arkansas,13295
Ashtabula,Ohio,43655
Asotin,Washington,1580
Assumption,Louisiana,19629
Atascosa,Texas,6459
Atchison,Kansas,26758
Atchison,Missouri,15533
Athens,Ohio,35194
Atlantic,New Jersey,28836
Attala,Mississippi,22213
Audrain,Missouri,22074
Audubon,Iowa,12412
Auglaize,Ohio,28100
Augusta,Virginia,37005
Aurora,South Dakota,5045
Austin,Texas,17859
Autauga,Alabama,13330
Avoyelles,Louisiana,25112
Baca,Colorado,1479
Bailey,Texas,-2
Baker,Florida,3333
Baker,Georgia,6144
Baker,Oregon,6764
Baldwin,Alabama,8941
