County-Level Results For 1820

county,state,population
Fairfield,Ohio,16633
Fairfield,South Carolina,17174
Fairfield,Connecticut,42739
Fauquier,Virginia,23103
Fayette,Ohio,6316
Fayette,Pennsylvania,27285
Fayette,Indiana,5950
Fayette,Kentucky,23250
Fleming,Kentucky,12186
Floyd,Kentucky,8207
Floyd,Indiana,2776
Fluvanna,Virginia,6704
Franklin,Pennsylvania,31892
Franklin,Mississippi,3821
Franklin,New York,4439
Franklin,Tennessee,16571
Franklin,Vermont,17192
Franklin,North Carolina,9741
Franklin,Virginia,12017
Franklin,Missouri,2379
Franklin,Massachusetts,29268
Franklin,Kentucky,11024
Franklin,Indiana,10763
Franklin,Illinois,1763
Franklin,Alabama,4988
Franklin,Ohio,10292
Franklin,Georgia,9040
Frederick,Virginia,24706
Frederick,Maryland,40459
Gallatin,Illinois,3155
Gallatin,Kentucky,7075
Gallia,Ohio,7098
Garrard,Kentucky,10851
Gates,North Carolina,6837
Geauga,Ohio,7791
Genesee,New York,58093
Georgetown,South Carolina,17603
Gibson,Indiana,3876
Giles,Virginia,4521
Giles,Tennessee,12558
Gloucester,Virginia,9678
Gloucester,New Jersey,23089
Glynn,Georgia,3418
Goochland,Virginia,10007
Grafton,New Hampshire,32989
Grainger,Tennessee,7651
Grand Isle,Vermont,3527
Grant,Kentucky,1805
Granville,North Carolina,18222
Grayson,Kentucky,4055
Grayson,Virginia,5598
Green,Kentucky,11943
Greenbrier,Virginia,7041
Greene,Tennessee,11324
Greene,Pennsylvania,15554
Greene,Mississippi,1445
Greene,Alabama,4554
Greene,Georgia,13589
Greene,North Carolina,4533
Greene,New York,22996
Greene,Ohio,10529
Greensville,Virginia,6858
Greenup,Kentucky,4311
Greenville,South Carolina,14530
Guernsey,Ohio,9292
Guilford,North Carolina,14511
Gwinnett,Georgia,4589
Habersham,Georgia,3145
Halifax,North Carolina,17237
Halifax,Virginia,19060
Hall,Georgia,5086
Hamilton,New York,1251
Hamilton,Ohio,31764
Hamilton,Tennessee,821
Hampden,Massachusetts,28021
Hampshire,Virginia,10889
Hampshire,Massachusetts,26487
Hancock,Georgia,12734
Hancock,Mississippi,1594
Hancock,Maine,31290
Hanover,Virginia,15267
Hardin,Tennessee,1462
Hardin,Kentucky,10498
Hardy,Virginia,5700
Harford,Maryland,15924
