County-Level Results For 1800

county,state,population
Abbeville,South Carolina,13553
Accomack,Virginia,15693
Adams,Pennsylvania,13172
Addison,Vermont,13417
Albany,New York,34043
Albemarle,Virginia,16439
Alexandria City,Virginia,4971
Allegany,Maryland,6303
Allegheny,Pennsylvania,15087
Amelia,Virginia,9432
Amherst,Virginia,16801
Anne Arundel,Maryland,22623
Anson,North Carolina,8146
Armstrong,Pennsylvania,2399
Ashe,North Carolina,2783
Augusta,Virginia,11712
Baltimore,Maryland,32516
Barnstable,Massachusetts,19293
Barnwell,South Carolina,7276
Barren,Kentucky,4784
Bath,Virginia,5508
Beaufort,North Carolina,6242
Beaufort,South Carolina,20428
Beaver,Pennsylvania,5776
Bedford,Pennsylvania,12039
Bedford,Virginia,14125
Bennington,Vermont,14617
Bergen,New Jersey,15156
Berkeley,Virginia,22006
Berks,Pennsylvania,32407
Berkshire,Massachusetts,33885
Bertie,North Carolina,11249
Bladen,North Carolina,7028
Blount,Tennessee,5587
Boone,Kentucky,1534
Botetourt,Virginia,10422
Bourbon,Kentucky,12825
Bracken,Kentucky,2206
Breckinridge,Kentucky,807
Bristol,Massachusetts,33880
Bristol,Rhode Island,3801
Brooke,Virginia,4706
Brunswick,Virginia,16339
Brunswick,North Carolina,4110
Bryan,Georgia,2836
Buckingham,Virginia,13389
Bucks,Pennsylvania,27496
Bullitt,Kentucky,3542
Bulloch,Georgia,1913
Buncombe,North Carolina,5812
Burke,Georgia,9506
Burke,North Carolina,9929
Burlington,New Jersey,21521
Butler,Pennsylvania,3916
Cabarrus,North Carolina,5094
Caledonia,Vermont,9377
Calvert,Maryland,8302
Camden,North Carolina,4191
Camden,Georgia,1681
Campbell,Kentucky,1903
Campbell,Virginia,9866
Cape May,New Jersey,3066
Caroline,Virginia,17438
Caroline,Maryland,9226
Carter,Tennessee,4813
Carteret,North Carolina,4399
Caswell,North Carolina,8701
Cayuga,New York,15871
Cecil,Maryland,9018
Charles,Maryland,19172
Charles City,Virginia,5365
Charleston,South Carolina,50791
Charlotte,Virginia,11912
Chatham,North Carolina,11861
Chatham,Georgia,12946
Chenango,New York,15666
Cheshire,New Hampshire,38825
Chester,Pennsylvania,32093
Chester,South Carolina,8185
Chesterfield,Virginia,14488
Chesterfield,South Carolina,5216
Chittenden,Vermont,12778
Chowan,North Carolina,5132
Christian,Kentucky,2318
Claremont,South Carolina,5158
Clarendon,South Carolina,4374
Clark,Kentucky,7653
Clinton-Essex,New York,8514
Colleton,South Carolina,31592
Columbia,Georgia,8345
Columbia,New York,35322
Craven,North Carolina,10245
Crawford,Pennsylvania,2346
Culpeper,Virginia,18100
Cumberland,Pennsylvania,25386
Cumberland,Kentucky,3284
Cumberland,Virginia,9839
Cumberland,New Jersey,9529
Cumberland,Maine,38208
Cumberland,North Carolina,9264
Currituck,North Carolina,6928
Darlington,South Carolina,7631
Dauphin,Pennsylvania,22270
Davidson,Tennessee,9965
Delaware,Pennsylvania,12809
Delaware,New York,10228
Dinwiddie,Virginia,11853
Dorchester,Maryland,16346
Dukes,Massachusetts,3118
Duplin,North Carolina,6796
Dutchess,New York,47775
Edgecombe,North Carolina,10421
Edgefield,South Carolina,18130
Effingham,Georgia,2072
Elbert,Georgia,10094
Elizabeth City,Virginia,2778
Erie,Pennsylvania,1468
Essex,Vermont,1479
Essex,New Jersey,22269
Essex,Massachusetts,61196
Essex,Virginia,9508
Fairfax,Virginia,13317
Fairfield,South Carolina,10087
Fairfield,Connecticut,38208
Fauquier,Virginia,21329
Fayette,Kentucky,14028
Fayette,Pennsylvania,20159
Fleming,Kentucky,5016
Fluvanna,Virginia,4623
Franklin,North Carolina,8529
Franklin,Virginia,9302
Franklin,Georgia,6859
Franklin,Vermont,8282
Franklin,Pennsylvania,19638
Franklin,Kentucky,5078
Frederick,Maryland,31523
Frederick,Virginia,24744
Gallatin,Kentucky,1291
Garrard,Kentucky,6186
Gates,North Carolina,5881
Georgetown,South Carolina,17260
Gloucester,New Jersey,16115
Gloucester,Virginia,8181
Glynn,Georgia,1874
Goochland,Virginia,9696
Grafton,New Hampshire,23093
Grainger,Tennessee,7367
Granville,North Carolina,14015
Grayson,Virginia,3912
Green,Kentucky,6096
Greenbrier,Virginia,4345
Greene,Georgia,10761
Greene,North Carolina,4218
Greene,Pennsylvania,8605
Greene,Tennessee,7610
Greene,New York,12584
Greensville,Virginia,6727
Greenville,South Carolina,11504
Guilford,North Carolina,9442
Halifax,Virginia,19377
Halifax,North Carolina,13945
Hampshire,Virginia,8348
Hampshire,Massachusetts,72432
Hancock,Georgia,14456
Hancock,Maine,16358
Hanover,Virginia,14403
Hardin,Kentucky,3753
Hardy,Virginia,6627
Harford,Maryland,17626
Harrison,Virginia,4848
Harrison,Kentucky,4350
Hartford,Connecticut,42147
Hawkins,Tennessee,6563
Henderson,Kentucky,1468
Henrico,Virginia,9149
Henry,Kentucky,3258
Henry,Virginia,5259
Herkimer,New York,14479
Hertford,North Carolina,6701
Hillsborough,New Hampshire,43899
Hoyd,Kentucky,478
Hunterdon,New Jersey,21261
Huntingdon,Pennsylvania,13008
Hyde,North Carolina,4829
Iredell,North Carolina,8856
Isle Of Wight,Virginia,9342
Jackson,Georgia,7736
James City,Virginia,3931
Jefferson,Kentucky,8754
Jefferson,Georgia,5684
Jefferson-Cocke,Tennessee,9017
Jessamine,Kentucky,5461
Johnston,North Carolina,6301
Jones,North Carolina,4339
Kanawha,Virginia,3239
Kennebec,Maine,24571
Kent,Maryland,11771
Kent,Rhode Island,8487
Kent,Delaware,19554
Kershaw,South Carolina,7340
King And Queen,Virginia,9538
King George,Virginia,6749
King William,Virginia,9055
Kings,New York,5740
Knox,Kentucky,1109
Knox,Tennessee,12446
Lancaster,South Carolina,6012
Lancaster,Virginia,5375
Lancaster,Pennsylvania,43403
Laurens,South Carolina,12809
Lee,Virginia,3538
Lenoir,North Carolina,4005
Lexington,South Carolina,5196
Liberty,Georgia,5313
Lincoln,Maine,30225
Lincoln,Georgia,4766
Lincoln,Kentucky,8621
Lincoln,North Carolina,12660
Litchfield,Connecticut,41214
Livingston,Kentucky,2856
Logan,Kentucky,5797
Loudoun,Virginia,20523
Louisa,Virginia,11892
Lunenburg,Virginia,10381
Luzerne,Pennsylvania,12839
Lycoming,Pennsylvania,5414
Madison,Virginia,8322
Madison,Kentucky,10490
Marion,South Carolina,6914
Marlboro,South Carolina,5452
Martin,North Carolina,5629
Mason,Kentucky,12182
Mathews,Virginia,5806
Mcintosh,Georgia,2660
Mecklenburg,North Carolina,10439
Mecklenburg,Virginia,17008
Mercer,Pennsylvania,3228
Mercer,Kentucky,9646
Middlesex,Connecticut,19874
Middlesex,Virginia,4203
Middlesex,Massachusetts,46928
Middlesex,New Jersey,17890
Mifflin-Centre,Pennsylvania,13609
Monmouth,New Jersey,19872
Monongalia,Virginia,8540
Monroe,Virginia,4188
Montgomery,Tennessee,2899
Montgomery,Maryland,15058
Montgomery,Pennsylvania,24150
Montgomery,New York,21700
Montgomery,Virginia,9044
Montgomery,North Carolina,7677
Montgomery,Kentucky,7082
Montgomery,Georgia,3180
Moore,North Carolina,4767
Morris,New Jersey,17750
Muhlenberg,Kentucky,1293
Nansemond,Virginia,11127
Nantucket,Massachusetts,5617
Nash,North Carolina,6975
Nelson,Kentucky,9866
New Castle,Delaware,25361
New Hanover,North Carolina,7060
New Haven,Connecticut,32162
New Kent,Virginia,6363
New London,Connecticut,34888
New York,New York,60489
Newberry,South Carolina,12006
Newport,Rhode Island,14845
Nicholas,Kentucky,2925
Norfolk,Virginia,12493
Norfolk,Massachusetts,27216
Norfolk City,Virginia,6926
Northampton,Virginia,6763
Northampton,North Carolina,12353
Northampton,Pennsylvania,30062
Northumberland,Virginia,7803
Northumberland,Pennsylvania,27797
Nottoway,Virginia,9401
Oglethorpe,Georgia,9780
Ohio,Kentucky,1223
Ohio,Virginia,4740
Oneida,New York,22047
Onondaga,New York,7406
Onslow,North Carolina,5623
Ontario,New York,15218
Orange,New York,29355
Orange,Vermont,18238
Orange,Virginia,11449
Orange,North Carolina,16362
Orangeburg,South Carolina,10125
Orleans,Vermont,1439
Otsego,New York,21636
Pasquotank,North Carolina,5379
Patrick,Virginia,4331
Pendleton,South Carolina,20052
Pendleton,Kentucky,1611
Pendleton,Virginia,3962
