County-Level Results For 1860

county,state,population
Abbeville,South Carolina,32385
Accomack,Virginia,18586
Adair,Iowa,984
Adair,Kentucky,9509
Adair,Missouri,8531
Adams,Wisconsin,6492
Adams,Illinois,41323
Adams,Mississippi,20165
Adams,Iowa,1533
Adams,Indiana,9252
Adams,Ohio,20309
Adams,Pennsylvania,28006
Addison,Vermont,24010
Aitkin,Minnesota,2
Alachua,Florida,8232
Alamance,North Carolina,11852
Alameda,California,8927
Albany,New York,113917
Albemarle,Virginia,26625
Alcona,Michigan,185
Alexander,Illinois,4707
Alexander,North Carolina,6022
Allamakee,Iowa,12237
Allegan,Michigan,16087
Allegany,New York,41881
Allegany,Maryland,28348
Alleghany,Virginia,6765
Alleghany,North Carolina,3590
Allegheny,Pennsylvania,178831
Allen,Indiana,29328
Allen,Ohio,19185
Allen,Kansas,3082
Allen,Kentucky,9187
Alpena,Michigan,290
Amador,California,10930
Amelia,Virginia,10741
Amherst,Virginia,13742
Amite,Mississippi,12336
Anderson,Kentucky,7404
Anderson,Tennessee,7068
Anderson,South Carolina,22873
Anderson,Texas,10398
Anderson,Kansas,2400
Andrew,Missouri,11850
Androscoggin,Maine,29726
Angelina,Texas,4271
Anne Arundel,Maryland,23900
Anoka,Minnesota,2106
Anson,North Carolina,13664
Antrim,Michigan,179
Appanoose,Iowa,11931
Appling,Georgia,4190
Appomattox,Virginia,8889
Arapahoe,Colorado,-10
Arkansas,Arkansas,8844
Arlington/alexand,Virginia,12652
Armstrong,Pennsylvania,35797
Aroostook,Maine,22479
Ascension,Louisiana,11484
Ashe,North Carolina,7956
Ashland,Wisconsin,515
Ashland,Ohio,22951
Ashley,Arkansas,8590
Ashtabula,Ohio,31814
Assumption,Louisiana,15379
Atascosa,Texas,1578
Atchison,Missouri,4649
Atchison,Kansas,7729
Athens,Ohio,21364
Atlantic,New Jersey,11786
Attala,Mississippi,14169
Audrain,Missouri,8075
Audubon,Iowa,454
Auglaize,Ohio,17187
Augusta,Virginia,27749
Austin,Texas,10139
Autauga,Alabama,16739
Avoyelles,Louisiana,13167
Baker,Georgia,4985
Baldwin,Georgia,9078
Baldwin,Alabama,7530
Ballard,Kentucky,8692
Baltimore,Maryland,54135
Baltimore City,Maryland,212418
Bandera,Texas,399
Banks,Georgia,4707
Barbour,Virginia,8958
Barbour,Alabama,30812
Barnstable,Massachusetts,35990
Barnwell,South Carolina,30743
Barren,Kentucky,16665
Barron/dallas,Wisconsin,13
Barry,Michigan,13858
Barry,Missouri,7995
Bartholomew,Indiana,17865
Barton,Missouri,1817
Bastrop,Texas,7006
Bates,Missouri,7215
Bath,Kentucky,12113
Bath,Virginia,3676
Bay,Michigan,3164
Bayfield/la Point,Wisconsin,353
Baylor,Texas,
Beaufort,South Carolina,40053
Beaufort,North Carolina,14766
Beaver,Pennsylvania,29140
Becker,Minnesota,386
Bedford,Pennsylvania,26736
Bedford,Virginia,25068
Bedford,Tennessee,21584
Bee,Texas,910
Belknap,New Hampshire,18549
Bell,Texas,4799
Belmont,Ohio,36398
Bennington,Vermont,19436
Benton,Indiana,2809
Benton,Missouri,9072
Benton,Tennessee,8463
Benton,Iowa,8496
Benton,Arkansas,9306
Benton,Oregon,3074
Benton,Minnesota,627
Bergen,New Jersey,21618
Berkeley,Virginia,12525
Berks,Pennsylvania,93818
Berkshire,Massachusetts,55120
Berrien,Georgia,3475
Berrien,Michigan,22378
Bertie,North Carolina,14310
Bexar,Texas,14454
Bibb,Georgia,16291
Bibb,Alabama,11894
Bienville,Louisiana,11000
Black Hawk,Iowa,8244
Blackford,Indiana,4122
Bladen,North Carolina,11995
Blair,Pennsylvania,27829
Blanco,Texas,1281
Bledsoe,Tennessee,4459
Blount,Alabama,10865
Blount,Tennessee,13270
Blue Earth,Minnesota,4803
Bolivar,Mississippi,10471
Bollinger,Missouri,7371
Bond,Illinois,9815
Boone,Virginia,4840
Boone,Indiana,16753
Boone,Kentucky,11196
Boone,Iowa,4232
Boone,Illinois,11678
Boone,Missouri,19486
Bosque,Texas,2005
Bossier,Louisiana,11348
Botetourt,Virginia,11516
Bourbon,Kentucky,14860
