County-Level Results For 1830

county,state,population
Abbeville,South Carolina,28149
Accomack,Virginia,16656
Adair,Kentucky,8217
Adams,Mississippi,14937
Adams,Ohio,12281
Adams,Illinois,2186
Adams,Pennsylvania,21379
Addison,Vermont,24940
Albany,New York,53520
Albemarle,Virginia,22618
Alexander,Illinois,1390
Allegany,New York,26276
Allegany,Maryland,10609
Alleghany,Virginia,2816
Allegheny,Pennsylvania,50552
Allen,Kentucky,6485
Allen,Indiana,996
Allen,Ohio,578
Amelia,Virginia,11036
Amherst,Virginia,12071
Amite,Mississippi,7934
Anderson,Kentucky,4520
Anderson,South Carolina,17169
Anderson,Tennessee,5310
Anne Arundel,Maryland,28295
Anson,North Carolina,14095
Appling,Georgia,1468
Arkansas,Arkansas,1426
Armstrong,Pennsylvania,17701
Ascension,Louisiana,5426
Ashe,North Carolina,6987
Ashtabula,Ohio,14584
Assumption,Louisiana,5669
Athens,Ohio,9787
Augusta,Virginia,19926
Autauga,Alabama,11874
Avoyelles,Louisiana,3484
Baker,Georgia,1253
Baldwin,Alabama,2324
Baldwin,Georgia,7295
Baltimore,Maryland,120870
Barnstable,Massachusetts,28514
Barnwell,South Carolina,19236
Barren,Kentucky,15079
Bartholomew,Indiana,5476
Bath,Virginia,4002
Bath,Kentucky,8799
Beaufort,North Carolina,10969
Beaufort,South Carolina,37032
Beaver,Pennsylvania,24183
Bedford,Virginia,20246
Bedford,Pennsylvania,24502
Bedford,Tennessee,30396
Belmont,Ohio,28627
Bennington,Vermont,17468
Bergen,New Jersey,22412
Berkeley,Virginia,10518
Berks,Pennsylvania,53152
Berkshire,Massachusetts,37835
Berrien,Michigan,325
Bertie,North Carolina,12262
Bibb,Alabama,6306
Bibb,Georgia,7154
Bladen,North Carolina,7811
Bledsoe,Tennessee,4648
Blount,Alabama,4233
Blount,Tennessee,11028
Bond,Illinois,3124
Boone,Missouri,8859
Boone,Kentucky,9075
Boone,Indiana,621
Botetourt,Virginia,16354
Bourbon,Kentucky,18436
Bracken,Kentucky,6518
Bradford,Pennsylvania,19746
Breckinridge,Kentucky,7345
Bristol,Rhode Island,5446
Bristol,Massachusetts,49592
Brooke,Virginia,7041
Broome,New York,17579
Brown,Michigan,1356
