County-Level Results For 1850

county,state,population
Abbeville,South Carolina,32318
Accomack,Virginia,17890
Adair,Kentucky,9898
Adair,Missouri,2342
Adams,Illinois,26508
Adams,Ohio,18883
Adams,Wisconsin,187
Adams,Mississippi,18601
Adams,Pennsylvania,25981
Adams,Indiana,5797
Adams-Sauk,Wisconsin,1
Addison,Vermont,26549
Alachua,Florida,2524
Alamance,North Carolina,11444
Albany,New York,93279
Albemarle,Virginia,25800
Alexander,North Carolina,5220
Alexander,Illinois,2484
Allamakee,Iowa,777
Allegan,Michigan,5125
Allegany,Maryland,22769
Allegany,New York,37808
Alleghany,Virginia,3515
Allegheny,Pennsylvania,138290
Allen,Ohio,12109
Allen,Indiana,16919
Allen,Kentucky,8742
Amelia,Virginia,9770
Amherst,Virginia,12699
Amite,Mississippi,9694
Anderson,Kentucky,6260
Anderson,South Carolina,21475
Anderson,Texas,2884
Anderson,Tennessee,6938
Andrew,Missouri,9433
Angelina,Texas,1165
Anne Arundel,Maryland,32393
Anson,North Carolina,13489
Appanoose,Iowa,3131
Appling,Georgia,2949
Appomattox,Virginia,9193
Arkansas,Arkansas,3245
Arlington/alexand,Virginia,10008
Armstrong,Pennsylvania,29560
Aroostook,Maine,12529
Ascension,Louisiana,10752
Ashe,North Carolina,8777
Ashland,Ohio,23813
Ashley,Arkansas,2058
Ashtabula,Ohio,28767
Assumption,Louisiana,10538
Atchison,Missouri,1678
Athens,Ohio,18215
Atlantic,New Jersey,8961
Attala,Mississippi,10991
Audrain,Missouri,3506
Auglaize,Ohio,11338
Augusta,Virginia,24610
Austin,Texas,3841
Autauga,Alabama,15023
Avoyelles,Louisiana,9326
Baker,Georgia,8120
Baldwin,Georgia,8148
Baldwin,Alabama,4414
Ballard,Kentucky,5496
Baltimore,Maryland,210646
Barbour,Alabama,23632
Barbour,Virginia,9005
Barnstable,Massachusetts,35276
Barnwell,South Carolina,26608
Barren,Kentucky,20240
Barry,Missouri,3467
Barry,Michigan,5072
Bartholomew,Indiana,12428
Bastrop,Texas,3099
Bates,Missouri,3669
Bath,Kentucky,12115
Bath,Virginia,3426
Bayfield/la Point,Wisconsin,489
Beaufort,South Carolina,38805
Beaufort,North Carolina,13816
Beaver,Pennsylvania,26689
Bedford,Pennsylvania,23052
