County-Level Results For 1900

county,state,population
Abbeville,South Carolina,33400
Acadia,Louisiana,23483
Accomack,Virginia,32570
Ada,Idaho,11559
Adair,Missouri,21728
Adair,Iowa,16192
Adair,Kentucky,14888
Adams,Ohio,26328
Adams,Mississippi,30111
Adams,Pennsylvania,34496
Adams,Wisconsin,9141
Adams,Washington,4840
Adams,Iowa,13601
Adams,Nebraska,18840
Adams,Illinois,67058
Adams,Indiana,22232
Addison,Vermont,21912
Aiken,South Carolina,39032
Aitkin,Minnesota,6743
Alachua,Florida,32245
Alamance,North Carolina,25665
Alameda,California,130197
Albany,Wyoming,13084
Albany,New York,165571
Albemarle,Virginia,28473
Alcona,Michigan,5691
Alcorn,Mississippi,14987
Alexander,Illinois,19384
Alexander,North Carolina,10960
Alexandria City,Virginia,14528
Alger,Michigan,5868
Allamakee,Iowa,18711
Allegan,Michigan,38812
Allegany,Maryland,53694
Allegany,New York,41501
Alleghany,Virginia,16330
Alleghany,North Carolina,7759
Allegheny,Pennsylvania,775058
Allen,Kansas,19507
Allen,Indiana,77270
Allen,Ohio,47976
Allen,Kentucky,14657
Alpena,Michigan,18254
Alpine,California,509
Amador,California,11116
Amelia,Virginia,9037
Amherst,Virginia,17864
Amite,Mississippi,20708
Anderson,Kansas,13938
Anderson,Kentucky,10051
Anderson,Tennessee,17634
Anderson,Texas,28015
Anderson,South Carolina,55728
Andrew,Missouri,17332
Andrews,Texas,87
Androscoggin,Maine,54242
Angelina,Texas,13481
Anne Arundel,Maryland,39620
Anoka,Minnesota,11313
Anson,North Carolina,21870
Antelope,Nebraska,11344
Antrim,Michigan,16568
Appanoose,Iowa,25927
Appling,Georgia,12336
Appomattox,Virginia,9662
Aransas,Texas,1716
Arapahoe,Colorado,153017
Archer,Texas,2508
Archuleta,Colorado,2117
Arenac,Michigan,9821
Arkansas,Arkansas,12973
Arlington/alexand,Virginia,6430
Armstrong,Pennsylvania,52551
Armstrong,South Dakota,8
Armstrong,Texas,1205
Aroostook,Maine,60744
Ascension,Louisiana,24142
Ashe,North Carolina,19581
Ashland,Wisconsin,20176
Ashland,Ohio,21184
Ashley,Arkansas,19734
Ashtabula,Ohio,51448
Asotin,Washington,3366
Assumption,Louisiana,21620
Atascosa,Texas,7143
Atchison,Kansas,28606
Atchison,Missouri,16501
Athens,Ohio,38730
Atlantic,New Jersey,46402
Attala,Mississippi,26248
Audrain,Missouri,21160
Audubon,Iowa,13626
Auglaize,Ohio,31192
Augusta,Virginia,32370
Aurora,South Dakota,4011
Austin,Texas,20676
Autauga,Alabama,17915
Avoyelles,Louisiana,29701
Baca,Colorado,759
Bailey,Texas,4
Baker,Florida,4516
Baker,Oregon,15597
Baker,Georgia,6704
Baldwin,Georgia,17768
Baldwin,Alabama,13194
Ballard,Kentucky,10761
Baltimore,Maryland,90755
Baltimore City,Maryland,508957
Bamberg,South Carolina,17296
Bandera,Texas,5332
Banks,Georgia,10545
Banner,Nebraska,1114
Bannock,Idaho,11702
Baraga,Michigan,4320
Barber,Kansas,6594
Barbour,West Virginia,14198
Barbour,Alabama,35152
Barnes,North Dakota,13159
Barnstable,Massachusetts,27826
Barnwell,South Carolina,35504
Barren,Kentucky,23197
Barron/dallas,Wisconsin,23677
Barry,Missouri,25532
Barry,Michigan,22514
Bartholomew,Indiana,24594
Barton,Kansas,13784
Barton,Missouri,18253
Bartow/cass,Georgia,20823
Bastrop,Texas,26845
Bates,Missouri,30141
Bath,Virginia,5595
Bath,Kentucky,14734
Baxter,Arkansas,9298
Bay,Michigan,62378
Bayfield/la Point,Wisconsin,14392
Baylor,Texas,3052
Beadle,South Dakota,8081
Bear Lake,Idaho,7051
Beaufort,South Carolina,35495
Beaufort,North Carolina,26404
Beaver,Utah,3613
Beaver,Pennsylvania,56432
Beaverhead,Montana,5615
Becker,Minnesota,14375
Bedford,Virginia,30356
Bedford,Pennsylvania,39468
Bedford,Tennessee,23845
Bee,Texas,7720
Belknap,New Hampshire,19526
Bell,Texas,45535
Bell,Kentucky,15701
Belmont,Ohio,60875
Beltrami,Minnesota,11030
Bennington,Vermont,21705
Benson,North Dakota,8320
Bent,Colorado,3049
Benton,Minnesota,9912
Benton,Missouri,16556
Benton,Iowa,25177
Benton,Tennessee,11888
Benton,Oregon,6706
Benton,Mississippi,10510
Benton,Arkansas,31611
Benton,Indiana,13123
Benzie,Michigan,9685
Bergen,New Jersey,78441
Berkeley,West Virginia,19469
Berkeley,South Carolina,30454
Berks,Pennsylvania,159615
Berkshire,Massachusetts,95667
Berrien,Georgia,19440
