County-Level Results For 1880

county,state,population
Abbeville,South Carolina,40815
Accomack,Virginia,24408
Adair,Kentucky,13078
Adair,Iowa,11667
Adair,Missouri,15190
Adams,Mississippi,22649
Adams,Iowa,11888
Adams,Indiana,15385
Adams,Ohio,24005
Adams,Nebraska,10235
Adams,Wisconsin,6741
Adams,Pennsylvania,32455
Adams,Illinois,59135
Addison,Vermont,24173
Aiken,South Carolina,28112
Aitkin,Minnesota,366
Alachua,Florida,16462
Alamance,North Carolina,14613
Alameda,California,62976
Albany,New York,154890
Albemarle,Virginia,32618
Alcona,Michigan,3107
Alcorn,Mississippi,14272
Alexander,Illinois,14808
Alexander,North Carolina,8355
Allamakee,Iowa,19791
Allegan,Michigan,37815
Allegany,New York,41810
Allegany,Maryland,38012
Alleghany,Virginia,5586
Alleghany,North Carolina,5486
Allegheny,Pennsylvania,355869
Allen,Kansas,11303
Allen,Indiana,54763
Allen,Ohio,31314
Allen,Kentucky,12089
Alpena,Michigan,8789
Alpine,California,539
Amador,California,11384
Amelia,Virginia,10377
Amherst,Virginia,18709
Amite,Mississippi,14004
Anderson,South Carolina,33612
Anderson,Kansas,9057
Anderson,Kentucky,9361
Anderson,Tennessee,10820
Anderson,Texas,17395
Andrew,Missouri,16318
Andrews,Texas,N/a
Androscoggin,Maine,45042
Angelina,Texas,5239
Anne Arundel,Maryland,28526
Anoka,Minnesota,7108
Anson,North Carolina,17994
Antelope,Nebraska,3953
Antrim,Michigan,5237
Appanoose,Iowa,16636
Appling,Georgia,5276
Appomattox,Virginia,10080
Aransas,Texas,996
Arapahoe,Colorado,38644
Arapahoe,Kansas,3
Archer,Texas,596
Arkansas,Arkansas,8038
Arlington/alexand,Virginia,17546
Armstrong,Texas,31
Armstrong,Pennsylvania,47641
Aroostook,Maine,41700
Ascension,Louisiana,16895
Ashe,North Carolina,14437
Ashland,Wisconsin,1559
Ashland,Ohio,23883
Ashley,Arkansas,10156
Ashtabula,Ohio,37139
Assumption,Louisiana,17010
Atascosa,Texas,4217
Atchison,Kansas,26668
Atchison,Missouri,14556
Athens,Ohio,28411
Atlantic,New Jersey,18704
Attala,Mississippi,19988
Audrain,Missouri,19732
Audubon,Iowa,7448
Auglaize,Ohio,25444
Augusta,Virginia,35710
Austin,Texas,14429
Autauga,Alabama,13108
Avoyelles,Louisiana,16747
Bailey,Texas,N/a
Baker,Florida,2303
Baker,Georgia,7307
Baker,Oregon,4616
Baldwin,Alabama,8603
Baldwin,Georgia,13806
Ballard,Kentucky,14378
Baltimore,Maryland,83336
Baltimore City,Maryland,332313
Bandera,Texas,2158
Banks,Georgia,7337
Baraga,Michigan,1804
Barbour,Alabama,33979
Barbour,Kansas,2661
Barbour,West Virginia,11870
Barnstable,Massachusetts,31897
Barnwell,South Carolina,39857
Barren,Kentucky,22321
Barron/dallas,Wisconsin,7024
Barry,Michigan,25317
Barry,Missouri,14405
Bartholomew,Indiana,22777
Barton,Kansas,10318
Barton,Missouri,10332
Bartow/cass,Georgia,18690
Bastrop,Texas,17215
Bates,Missouri,25381
Bath,Kentucky,11982
Bath,Virginia,4482
Baxter,Arkansas,6004
Bay,Michigan,38081
Bayfield/la Point,Wisconsin,564
Baylor,Texas,715
Beaufort,North Carolina,17474
Beaufort,South Carolina,30176
Beaver,Pennsylvania,39605
Becker,Minnesota,5218
Bedford,Pennsylvania,34929
Bedford,Virginia,31205
Bedford,Tennessee,26025
Bee,Texas,2298
Belknap,New Hampshire,17948
Bell,Kentucky,6055
Bell,Texas,20518
Belmont,Ohio,49638
Beltrami,Minnesota,10
Bennington,Vermont,21950
Bent,Colorado,1654
Benton,Arkansas,20328
Benton,Indiana,11108
Benton,Missouri,12396
Benton,Tennessee,9780
Benton,Minnesota,3012
Benton,Iowa,24888
Benton,Mississippi,11023
Benton,Oregon,6403
Benzie,Michigan,3433
Bergen,New Jersey,36786
Berkeley,West Virginia,17380
Berks,Pennsylvania,122597
Berkshire,Massachusetts,69032
Berrien,Georgia,6619
Berrien,Michigan,36785
Bertie,North Carolina,16399
Bexar,Texas,30470
Bibb,Alabama,9487
Bibb,Georgia,27147
Bienville,Louisiana,10442
Big Stone,Minnesota,3688
Black Hawk,Iowa,23913
Blackbird,Nebraska,109
Blackford,Indiana,8020
Bladen,North Carolina,16158
Blair,Pennsylvania,52740
Blanco,Texas,3583
Bland,Virginia,5004
Bledsoe,Tennessee,5617
Blount,Tennessee,15985
Blount,Alabama,15369
Blue Earth,Minnesota,22889
Bolivar,Mississippi,18652
Bollinger,Missouri,11130
Bond,Illinois,14866
Boone,Nebraska,4170
Boone,Indiana,25922
Boone,Missouri,25422
Boone,Illinois,11508
Boone,Kentucky,11996
Boone,Iowa,20838
Boone,West Virginia,5824
Boone,Arkansas,12146
Borden,Texas,35
Bosque,Texas,11217
Bossier,Louisiana,16042
Botetourt,Virginia,14809
Boulder,Colorado,9723
Bourbon,Kansas,19591
Bourbon,Kentucky,15956
Bowie,Texas,10965
Boyd,Kentucky,12165
Boyle,Kentucky,11930
Bracken,Kentucky,13509
Bradford,Pennsylvania,58541
Bradford/new Rive,Florida,6112
Bradley,Arkansas,6285
Bradley,Tennessee,12124
Branch,Michigan,27941
Braxton,West Virginia,9787
Brazoria,Texas,9774
Brazos,Texas,13576
Breathitt,Kentucky,7742
Breckinridge,Kentucky,17486
Bremer,Iowa,14081
Brevard/st Lucie,Florida,1478
Briscoe,Texas,12
Bristol,Rhode Island,11394
Bristol,Massachusetts,139040
Brooke,West Virginia,6013
Brooks,Georgia,11727
Broome,New York,49483
Brown,Indiana,10264
Brown,Wisconsin,34078
Brown,Texas,8414
Brown,Illinois,13041
Brown,Ohio,32911
Brown,Kansas,12817
Brown,Minnesota,12018
Brunswick,Virginia,16707
Brunswick,North Carolina,9389
Bryan,Georgia,4929
Buchanan,Virginia,5694
Buchanan,Missouri,49792
Buchanan,Iowa,18546
Buckingham,Virginia,15540
Bucks,Pennsylvania,68656
Buena Vista,Iowa,7537
Buffalo,Wisconsin,15528
Buffalo,Kansas,191
Buffalo,Nebraska,7531
Bullitt,Kentucky,8521
Bulloch,Georgia,8053
Bullock,Alabama,29066
Buncombe,North Carolina,21909
Bureau,Illinois,33172
Burke,North Carolina,12809
Burke,Georgia,27128
Burleson,Texas,9243
Burlington,New Jersey,55402
Burnet,Texas,6855
Burnett,Wisconsin,3140
Burt,Nebraska,6937
Butler,Alabama,19649
Butler,Kansas,18586
Butler,Nebraska,9194
Butler,Ohio,42579
Butler,Missouri,6011
Butler,Kentucky,12181
Butler,Pennsylvania,52536
Butler,Iowa,14293
Butte,California,18721
Butts,Georgia,8311
Cabarrus,North Carolina,14964
Cabell,West Virginia,13744
Caddo,Louisiana,26296
Calaveras,California,9094
Calcasieu,Louisiana,12484
Caldwell,North Carolina,10291
Caldwell,Louisiana,5767
Caldwell,Texas,11757
Caldwell,Kentucky,11282
Caldwell,Missouri,13646
Caledonia,Vermont,23607
Calhoun,Illinois,7467
Calhoun,Iowa,5595
Calhoun,Texas,1739
Calhoun,Michigan,38452
Calhoun,Arkansas,5671
Calhoun,Mississippi,13492
Calhoun,Florida,1580
Calhoun,West Virginia,6072
Calhoun,Georgia,7024
Calhoun/benton,Alabama,19591
Callahan,Texas,3453
Callaway,Missouri,23670
Calloway,Kentucky,13295
Calumet,Wisconsin,16632
Calvert,Maryland,10538
Cambria,Pennsylvania,46811
Camden,Missouri,7266
Camden,Georgia,6183
Camden,North Carolina,6274
Camden,New Jersey,62942
Cameron,Pennsylvania,5159
Cameron,Louisiana,2416
Cameron,Texas,14959
Camp,Texas,5931
Campbell,Virginia,36250
Campbell,Kentucky,37440
Campbell,Georgia,9970
Campbell,Tennessee,10005
Cannon,Tennessee,11859
Cape Girardeau,Missouri,20998
Cape May,New Jersey,9765
Carbon,Pennsylvania,31923
Carlton,Minnesota,1230
Caroline,Maryland,13766
Caroline,Virginia,17243
Carroll,Mississippi,17795
Carroll,Indiana,18345
Carroll,Tennessee,22103
Carroll,Missouri,23274
Carroll,Arkansas,13337
Carroll,Georgia,16901
Carroll,Virginia,13323
Carroll,Ohio,16416
Carroll,New Hampshire,18224
Carroll,Kentucky,8953
Carroll,Illinois,16976
Carroll,Maryland,30992
Carroll,Iowa,12351
Carson,Nevada,-2
