County-Level Results For 1840

county,state,population
Abbeville,South Carolina,29351
Accomack,Virginia,17096
Adair,Kentucky,8466
Adams,Indiana,2264
Adams,Ohio,13183
Adams,Mississippi,19434
Adams,Pennsylvania,23044
Adams,Illinois,14476
Addison,Vermont,23583
Alachua,Florida,2282
Albany,New York,68593
Albemarle,Virginia,22924
Alexander,Illinois,3313
Allegan,Michigan,1783
Allegany,New York,40975
Allegany,Maryland,15690
Alleghany,Virginia,2749
Allegheny,Pennsylvania,81235
Allen,Ohio,9079
Allen,Indiana,5942
Allen,Kentucky,7329
Amelia,Virginia,10320
Amherst,Virginia,12576
Amite,Mississippi,9511
Anderson,Kentucky,5452
Anderson,South Carolina,18493
Anderson,Tennessee,5658
Anne Arundel,Maryland,29532
Anson,North Carolina,15077
Appling,Georgia,2052
Arkansas,Arkansas,1346
Armstrong,Pennsylvania,28365
Aroostook,Maine,9413
Ascension,Louisiana,6951
Ashe,North Carolina,7467
Ashtabula,Ohio,23724
Assumption,Louisiana,7141
Athens,Ohio,19109
Atlantic,New Jersey,8726
Attala,Mississippi,4303
Audrain,Missouri,1949
Augusta,Virginia,19628
Autauga,Alabama,14342
Avoyelles,Louisiana,6616
Baker,Georgia,4226
Baldwin,Alabama,2951
Baldwin,Georgia,7250
Baltimore,Maryland,134379
Barbour,Alabama,12024
Barnstable,Massachusetts,32548
Barnwell,South Carolina,21471
Barren,Kentucky,17288
Barry,Missouri,4795
Barry,Michigan,1078
Bartholomew,Indiana,10042
Bath,Virginia,4300
Bath,Kentucky,9763
Beaufort,North Carolina,12225
Beaufort,South Carolina,35794
Beaver,Pennsylvania,29368
Bedford,Virginia,20203
Bedford,Tennessee,20546
Bedford,Pennsylvania,29335
Belmont,Ohio,30901
Bennington,Vermont,16872
Benton,Missouri,4205
Benton,Arkansas,2228
Benton,Tennessee,4772
Bergen,New Jersey,13223
Berkeley,Virginia,10972
Berks,Pennsylvania,64569
Berkshire,Massachusetts,41745
Berrien,Michigan,5011
Bertie,North Carolina,12175
Bibb,Georgia,9802
Bibb,Alabama,8284
Blackford,Indiana,1226
Bladen,North Carolina,8022
Bledsoe,Tennessee,5676
Blount,Tennessee,11745
Blount,Alabama,5570
Bolivar,Mississippi,1356
Bond,Illinois,5060
Boone,Illinois,1705
Boone,Kentucky,10034
Boone,Missouri,13561
Boone,Indiana,8121
Botetourt,Virginia,11679
Bourbon,Kentucky,14478
Bracken,Kentucky,7053
Bradford,Pennsylvania,32769
Bradley,Tennessee,7385
Branch,Michigan,5715
Braxton,Virginia,2575
Breathitt,Kentucky,2195
Breckinridge,Kentucky,8944
Bristol,Massachusetts,60164
Bristol,Rhode Island,6476
Brooke,Virginia,7948
Broome,New York,22338
Brown,Illinois,4183
Brown,Indiana,2364
Brown,Wisconsin,2107
Brown,Ohio,22715
Brunswick,Virginia,14346
Brunswick,North Carolina,5265
Bryan,Georgia,3182
Buchanan,Missouri,6237
Buckingham,Virginia,18786
Bucks,Pennsylvania,48107
Bullitt,Kentucky,6334
Bulloch,Georgia,3102
Buncombe,North Carolina,10084
Bureau,Illinois,3067
Burke,North Carolina,15799
Burke,Georgia,13176
Burlington,New Jersey,32831
Butler,Alabama,8685
Butler,Ohio,28173
Butler,Pennsylvania,22378
Butler,Kentucky,3898
Butts,Georgia,5308
Cabarrus,North Carolina,9259
Cabell,Virginia,8163
Caddo,Louisiana,5282
Calcasieu,Louisiana,2057
Caldwell,Kentucky,10365
Caldwell,Louisiana,2017
Caldwell,Missouri,1458
Caledonia,Vermont,21891
Calhoun,Michigan,10599
Calhoun,Florida,1142
Calhoun,Illinois,1741
Calhoun/benton,Alabama,14260
Callaway,Missouri,11765
Calloway,Kentucky,9794
Calumet,Wisconsin,275
Calvert,Maryland,9229
Cambria,Pennsylvania,11256
Camden,Georgia,6075
Camden,North Carolina,5663
Campbell,Tennessee,6149
Campbell,Georgia,5370
Campbell,Virginia,21030
Campbell,Kentucky,5214
Cannon,Tennessee,7193
Cape Girardeau,Missouri,9359
Cape May,New Jersey,5324
Caroline,Maryland,7806
Caroline,Virginia,17813
Carroll,Maryland,17241
Carroll,Georgia,5252
Carroll,Arkansas,2844
Carroll,Mississippi,10481
Carroll,Indiana,7819
Carroll,Tennessee,12362
Carroll,Kentucky,3966
Carroll,Missouri,2423
Carroll,Louisiana,4237
Carroll,Ohio,18108
Carroll,Illinois,1023
Carter,Tennessee,5372
Carter,Kentucky,2905
Carteret,North Carolina,6591
Casey,Kentucky,4939
Cass,Illinois,2981
Cass,Michigan,5710
Cass,Georgia,9390
Cass,Indiana,5480
Cass/van Buren,Missouri,4693
Caswell,North Carolina,14693
Catahoula,Louisiana,4955
