County-Level Results For 1810

county,state,population
Abbeville,South Carolina,21156
Accomack,Virginia,15743
Adair,Kentucky,6011
Adams,Ohio,9434
Adams,Pennsylvania,15152
Addison,Vermont,19998
Albany,New York,34661
Albemarle,Virginia,18268
Allegany,New York,1942
Allegany,Maryland,6909
Allegheny,Pennsylvania,25317
Amelia,Virginia,10594
Amherst,Virginia,10548
Anderson,Tennessee,3959
Anne Arundel,Maryland,26668
Anson,North Carolina,8831
Armstrong,Pennsylvania,6143
Ashe,North Carolina,3694
Athens,Ohio,2791
Augusta,Virginia,14308
Baldwin,Georgia,6356
Baltimore,Maryland,29255
Baltimore City,Maryland,46555
Barnstable,Massachusetts,22211
Barnwell,South Carolina,12280
Barren,Kentucky,11286
Bath,Virginia,4837
Beaufort,South Carolina,25887
Beaufort,North Carolina,7203
Beaver,Pennsylvania,12168
Bedford,Virginia,16148
Bedford,Pennsylvania,15746
Bedford,Tennessee,8242
Belmont,Ohio,11097
Bennington,Vermont,15893
Bergen,New Jersey,16603
Berkeley,Virginia,11479
Berks,Pennsylvania,43146
Berkshire,Massachusetts,35907
Bertie,North Carolina,11218
Bladen,North Carolina,5671
Blount,Tennessee,12098
Boone,Kentucky,3608
Botetourt,Virginia,13301
Bourbon,Kentucky,18009
Bracken,Kentucky,3706
Breckinridge,Kentucky,3430
Bristol,Massachusetts,37168
Bristol,Rhode Island,5072
Brooke,Virginia,5843
Broome,New York,8130
Brunswick,North Carolina,4778
Brunswick,Virginia,15411
Bryan,Georgia,2827
Buckingham,Virginia,20059
Bucks,Pennsylvania,32371
Bullitt,Kentucky,4311
Bulloch,Georgia,2305
Buncombe,North Carolina,9277
Burke,Georgia,10858
Burke,North Carolina,11007
Burlington,New Jersey,24979
Butler,Pennsylvania,7346
Butler,Kentucky,2181
Butler,Ohio,11150
Cabarrus,North Carolina,6158
Cabell,Virginia,2717
Caldwell,Kentucky,4268
Caledonia,Vermont,18740
Calvert,Maryland,8005
Cambria,Pennsylvania,2117
Camden,North Carolina,5347
Camden,Georgia,3941
Campbell,Tennessee,2668
Campbell,Kentucky,3473
Campbell,Virginia,11001
Cape May,New Jersey,3632
Caroline,Virginia,17544
Caroline,Maryland,9453
